CCNum,Trans_date_Time,Attrition_Flag,Surname,Age,Gender,CreditScore,Geography,Tenure,Education_Level,Income_Category,Card_Category,Credit_Limit,Total_Trans_Amt,Total_Trans_Ct,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,is_fraud,Exited
717651333,06/01/2019 05:05,Existing Customer,Davison,56,F,896,France,5,Doctorate,Unknown,Blue,26923,13643,94,142662.68,1,0,0,60285.3,0,0
798489258,06/01/2019 05:06,Attrited Customer,Hamilton,60,M,787,Germany,8,College,$40K - $60K,Silver,15977,7745,64,102603.3,2,1,1,180693.61,0,0
710742408,06/01/2019 05:07,Existing Customer,Nnachetam,54,M,777,Spain,9,High School,$80K - $120K,Blue,26812,14838,110,0,2,1,0,126475.79,0,0
812089383,06/01/2019 05:07,Existing Customer,Blue,42,M,560,Spain,1,Unknown,$60K - $80K,Blue,5175,14304,99,0,2,0,0,133535.99,0,0
711968358,06/01/2019 05:08,Existing Customer,Madukwe,56,F,653,Spain,6,High School,Less than $40K,Blue,3955,16423,109,105000.85,2,1,1,87412.24,0,0
794227308,06/01/2019 05:10,Existing Customer,Mills,57,M,645,France,5,Graduate,$120K +,Blue,22355,14268,99,0,2,1,1,164886.64,0,1
719845908,06/01/2019 05:10,Attrited Customer,Ferrari,53,M,634,France,1,Uneducated,$80K - $120K,Blue,23240,9441,82,69518.95,1,1,0,116238.39,0,0
716851908,06/01/2019 05:11,Existing Customer,Nixon,59,M,726,Germany,8,Graduate,$60K - $80K,Blue,5479,14728,126,126145.54,2,1,1,138051.19,0,0
720599658,06/01/2019 05:11,Attrited Customer,Manfrin,50,M,617,France,4,Unknown,$120K +,Blue,16081,6100,61,138937.35,1,1,1,101617.64,0,0
720401658,06/01/2019 05:13,Existing Customer,McCartney,54,F,581,Germany,10,Graduate,Less than $40K,Blue,5497,16266,124,113581.98,1,1,0,1985.41,0,1
827442858,06/01/2019 05:14,Existing Customer,Robinson,57,M,584,France,1,Graduate,Less than $40K,Silver,14135,13703,99,112572.39,1,0,0,165626.6,0,0
779034708,06/01/2019 05:15,Existing Customer,Nkemdirim,61,M,477,Germany,10,High School,$60K - $80K,Silver,31546,15311,108,114514.71,2,1,0,177784.68,0,0
718806783,06/01/2019 05:16,Existing Customer,Sal,47,M,711,France,2,Uneducated,$80K - $120K,Silver,34516,15134,124,0,2,1,1,65765.22,0,1
714484008,06/01/2019 05:17,Attrited Customer,Kao,48,F,757,France,10,Doctorate,Less than $40K,Blue,4353,9226,85,0,2,1,1,50759.8,0,0
719176308,06/01/2019 05:18,Existing Customer,Ikechukwu,44,M,660,France,2,High School,$80K - $120K,Silver,34516,16579,109,84906.45,1,1,0,163216.48,0,0
769662033,06/01/2019 05:18,Existing Customer,Hargreaves,46,F,741,Spain,2,College,Unknown,Blue,3310,14542,89,126816.18,1,1,1,74850.93,0,0
721020858,06/01/2019 05:19,Attrited Customer,Sievier,35,M,648,Germany,1,High School,$40K - $60K,Blue,4601,9610,76,105249.76,2,1,1,23491.09,0,0
714630858,06/01/2019 05:21,Existing Customer,Murphy,37,M,579,Spain,2,High School,$40K - $60K,Blue,3981,14340,114,0,2,1,0,134272.57,0,0
710838108,06/01/2019 05:21,Attrited Customer,Munro,46,F,469,Germany,5,Graduate,Less than $40K,Blue,4458,9640,70,109387.9,1,1,0,155721.15,0,0
712662783,06/01/2019 05:23,Existing Customer,Donnelly,44,M,642,Germany,3,Doctorate,$80K - $120K,Blue,10292,15148,111,122478.51,1,1,0,147230.77,0,0
713160258,06/01/2019 05:23,Attrited Customer,North,55,F,693,France,8,High School,Unknown,Blue,15944,9360,67,137732.23,2,1,1,133210.44,0,1
778163508,06/01/2019 05:25,Attrited Customer,Cruz,36,F,860,France,2,Graduate,Unknown,Blue,4377,8759,74,157866.77,1,1,1,18986.12,0,0
713785608,06/01/2019 05:28,Attrited Customer,Sinclair,50,M,522,France,6,Graduate,$60K - $80K,Blue,4930,7412,60,0,1,1,1,100507.81,0,0
779905008,06/01/2019 05:29,Attrited Customer,Vasiliev,55,F,626,France,3,Unknown,Less than $40K,Blue,4982,9274,65,136789.14,1,1,0,59346.4,0,0
789491058,06/01/2019 05:29,Attrited Customer,Vasilyeva,44,M,674,France,1,High School,$120K +,Blue,34162,7572,56,0,2,1,1,95372.64,0,1
793736958,06/01/2019 05:30,Existing Customer,Hamilton,50,M,704,France,10,College,$80K - $120K,Blue,4047,16191,102,144684.03,1,1,1,31805.49,0,0
720961383,06/01/2019 05:30,Existing Customer,Sung,48,F,665,France,9,Graduate,Less than $40K,Blue,6380,17119,124,107065.31,1,1,1,51959.82,0,0
714202008,06/01/2019 05:33,Existing Customer,Genovesi,54,F,617,France,8,Graduate,Less than $40K,Blue,3534,13588,94,91301.72,1,0,1,130824.57,0,0
721479108,06/01/2019 05:34,Existing Customer,Atkinson,52,F,694,Spain,4,Graduate,Less than $40K,Blue,6091,17437,113,207034.96,2,0,0,157694.76,0,0
715549158,06/01/2019 05:35,Existing Customer,Watterston,30,M,773,Spain,8,Graduate,$40K - $60K,Gold,23981,14840,125,0,2,1,1,933.38,0,1
710308983,06/01/2019 05:35,Existing Customer,Butters,51,F,681,Spain,8,Graduate,Less than $40K,Blue,7832,14614,106,0,1,0,1,2560.11,0,0
710981583,06/01/2019 05:35,Existing Customer,Chien,45,M,602,Spain,3,Graduate,$120K +,Blue,34516,13759,120,0,1,1,1,12905.89,0,0
712704933,06/01/2019 05:36,Existing Customer,Gorbunova,50,F,676,Spain,6,High School,Less than $40K,Silver,13704,15872,116,0,2,1,0,176692.87,0,1
716165508,06/01/2019 05:36,Existing Customer,Bulgakov,52,M,677,France,5,High School,Less than $40K,Blue,4423,15467,112,0,2,1,1,102908.63,0,0
710630583,06/01/2019 05:37,Attrited Customer,Steele,48,M,860,Spain,6,Graduate,$60K - $80K,Blue,6224,8979,68,0,2,0,1,41291.05,0,0
709571958,06/01/2019 05:38,Existing Customer,Polyakova,59,F,632,Spain,9,Graduate,Less than $40K,Blue,4133,16100,119,0,2,1,0,119127.06,0,0
790115358,06/01/2019 05:38,Existing Customer,Bull,40,M,587,France,8,Uneducated,$120K +,Blue,34516,15176,126,92472.1,2,0,1,126434.61,0,0
715904433,06/01/2019 05:38,Existing Customer,Weaver,43,M,565,Spain,1,Graduate,$120K +,Blue,5270,16179,105,0,2,0,0,103901.35,0,0
709078908,06/01/2019 05:40,Existing Customer,Earl,49,M,557,France,10,Graduate,$60K - $80K,Gold,34516,15279,122,127738.75,2,1,1,85153,0,0
717541308,06/01/2019 05:42,Existing Customer,Giordano,62,M,623,Germany,5,Unknown,$120K +,Blue,3782,14977,117,101242.98,2,1,0,12493.61,0,0
779916408,06/01/2019 05:43,Attrited Customer,Begg,40,F,682,France,4,Doctorate,Unknown,Blue,5173,8757,68,92599.55,2,1,1,167336.78,0,0
714979383,06/01/2019 05:43,Existing Customer,Pickering,57,M,634,Spain,10,Unknown,$60K - $80K,Blue,4058,15865,105,0,2,0,1,186180.42,0,0
711691608,06/01/2019 05:44,Existing Customer,Fanucci,47,M,708,Spain,1,College,$60K - $80K,Blue,21551,14950,94,0,4,1,0,88566.9,0,1
788930358,06/01/2019 05:44,Existing Customer,Chang,43,M,616,France,6,High School,$40K - $60K,Blue,9805,14641,95,82373.94,1,0,0,172526.9,0,1
716351208,06/01/2019 05:46,Existing Customer,Sopuluchi,49,F,730,Spain,4,Doctorate,Less than $40K,Blue,7530,14719,115,141356.47,1,0,0,137985.69,0,0
708266883,06/01/2019 05:47,Existing Customer,Martin,35,M,845,France,9,Graduate,$60K - $80K,Blue,8983,15163,124,0,1,1,0,19793.73,0,0
718858683,06/01/2019 05:48,Existing Customer,McNaughtan,43,F,781,Spain,3,Unknown,$40K - $60K,Blue,4855,14969,104,72664,2,1,1,107874.39,0,1
771617883,06/01/2019 05:48,Attrited Customer,Stewart,55,M,821,France,3,Graduate,$40K - $60K,Blue,5735,9088,64,123365.34,2,0,0,171995.34,0,0
718001508,06/01/2019 05:48,Attrited Customer,Reagan,42,M,744,Germany,5,College,$80K - $120K,Blue,9524,7527,58,121898.58,1,1,0,61829.89,0,0
708995283,06/01/2019 05:49,Existing Customer,Heller,51,M,548,Spain,6,Graduate,Less than $40K,Gold,15987,15853,117,0,1,1,1,31728.35,0,1
721173183,06/01/2019 05:51,Attrited Customer,Nwokeocha,58,M,662,France,3,Uneducated,$120K +,Blue,5181,8943,68,103696.97,3,0,0,155221.05,0,0
711102858,06/01/2019 05:51,Attrited Customer,Liu,49,M,717,France,2,High School,$60K - $80K,Silver,28831,8688,69,0,2,0,0,130866.95,0,0
711722808,06/01/2019 05:53,Attrited Customer,Sokolova,52,M,615,Germany,1,Post-Graduate,$40K - $60K,Blue,4169,8565,70,74129.18,2,1,1,62199.78,0,1
787466808,06/01/2019 05:53,Existing Customer,Bancroft,37,F,633,France,9,Uneducated,$40K - $60K,Blue,7020,16937,116,0,1,1,0,24255.21,0,1
716116383,06/01/2019 05:53,Attrited Customer,Nnanna,46,F,696,Germany,3,Doctorate,Less than $40K,Blue,3709,8130,74,185379.02,1,1,0,64679.07,0,0
713257083,06/01/2019 05:54,Attrited Customer,Trevisani,47,M,535,Germany,1,Graduate,Less than $40K,Silver,12833,9619,75,118087.68,1,1,0,88120.78,0,1
772661808,06/01/2019 05:54,Existing Customer,Nwachinemelu,57,F,667,Spain,8,Uneducated,Less than $40K,Blue,3804,14321,102,109402.13,1,1,1,66463.62,0,0
