CCNum,Trans_date_Time,Attrition_Flag,Surname,Age,Gender,CreditScore,Geography,Tenure,Education_Level,Income_Category,Card_Category,Credit_Limit,Total_Trans_Amt,Total_Trans_Ct,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,is_fraud,Exited
768805383,01/01/2019 00:00,Existing Customer,Hargrave,45,M,619,France,2,High School,$60K - $80K,Blue,12691,1144,42,0,1,1,1,101348.88,0,1
818770008,01/01/2019 00:00,Existing Customer,Hill,49,F,608,Spain,1,Graduate,Less than $40K,Blue,8256,1291,33,83807.86,1,0,1,112542.58,0,0
713982108,01/01/2019 00:00,Existing Customer,Onio,51,M,502,France,8,Graduate,$80K - $120K,Blue,3418,1887,20,159660.8,3,1,0,113931.57,0,1
769911858,01/01/2019 00:01,Existing Customer,Boni,40,F,699,France,1,High School,Less than $40K,Blue,3313,1171,20,0,2,0,0,93826.63,0,0
709106358,01/01/2019 00:03,Existing Customer,Mitchell,40,M,850,Spain,2,Uneducated,$60K - $80K,Blue,4716,816,28,125510.82,1,1,1,79084.1,0,0
713061558,01/01/2019 00:04,Existing Customer,Chu,44,M,645,Spain,8,Graduate,$40K - $60K,Blue,4010,1088,24,113755.78,2,1,0,149756.71,0,1
810347208,01/01/2019 00:04,Existing Customer,Bartlett,51,M,822,France,7,Unknown,$120K +,Gold,34516,1330,31,0,2,1,1,10062.8,0,0
818906208,01/01/2019 00:05,Existing Customer,Obinna,32,M,376,Germany,4,High School,$60K - $80K,Silver,29081,1538,36,115046.74,4,1,0,119346.88,0,1
710930508,01/01/2019 00:05,Existing Customer,He,37,M,501,France,4,Uneducated,$60K - $80K,Blue,22352,1350,24,142051.07,2,0,1,74940.5,0,0
719661558,01/01/2019 00:06,Existing Customer,Hu,48,M,684,France,2,Graduate,$80K - $120K,Blue,11656,1441,32,134603.88,1,1,1,71725.73,0,0
708790833,01/01/2019 00:06,Existing Customer,Bearce,42,M,528,France,6,Uneducated,$120K +,Blue,6748,1201,42,102016.72,2,0,0,80181.12,0,0
710821833,01/01/2019 00:06,Existing Customer,Andrews,65,M,497,Spain,3,Unknown,$40K - $60K,Blue,9095,1314,26,0,2,1,0,76390.01,0,0
710599683,01/01/2019 00:06,Existing Customer,Kay,56,M,476,France,10,College,$80K - $120K,Blue,11751,1539,17,0,2,1,0,26260.98,0,0
816082233,01/01/2019 00:07,Existing Customer,Chin,35,M,549,France,5,Graduate,$60K - $80K,Blue,8547,1311,33,0,2,0,0,190857.79,0,0
712396908,01/01/2019 00:09,Existing Customer,Scott,57,F,635,Spain,7,Graduate,Less than $40K,Blue,2436,1570,29,0,2,1,1,65951.65,0,0
